name,date_of_birth,place_of_birth,team,season,season_start_year,season_end_year
AdriÃ  OrtolÃ ,20/08/1993,Spain,fc-barcelona,Season 2017/2018,2017,2018
Jasper Cillessen,22/04/1989,Netherlands,fc-barcelona,Season 2017/2018,2017,2018
Marc-AndrÃ© ter Stegen,30/04/1992,Germany,fc-barcelona,Season 2017/2018,2017,2018
Aleix Vidal,21/08/1989,Spain,fc-barcelona,Season 2017/2018,2017,2018
Cucurella,22/07/1998,Spain,fc-barcelona,Season 2017/2018,2017,2018
David Costas,26/03/1995,Spain,fc-barcelona,Season 2017/2018,2017,2018
Lucas Digne,20/07/1993,France,fc-barcelona,Season 2017/2018,2017,2018
Jordi Alba,21/03/1989,Spain,fc-barcelona,Season 2017/2018,2017,2018
Yerry Mina,23/09/1994,Colombia,fc-barcelona,Season 2017/2018,2017,2018
NÃ©lson Semedo,16/11/1993,Portugal,fc-barcelona,Season 2017/2018,2017,2018
PiquÃ©,02/02/1987,Spain,fc-barcelona,Season 2017/2018,2017,2018
Samuel Umtiti,14/11/1993,France,fc-barcelona,Season 2017/2018,2017,2018
Thomas Vermaelen,14/11/1985,Belgium,fc-barcelona,Season 2017/2018,2017,2018
AndrÃ© Gomes,30/07/1993,Portugal,fc-barcelona,Season 2017/2018,2017,2018
Busquets,16/07/1988,Spain,fc-barcelona,Season 2017/2018,2017,2018
Carles AleÃ±Ã¡,05/01/1998,Spain,fc-barcelona,Season 2017/2018,2017,2018
Coutinho,12/06/1992,Brazil,fc-barcelona,Season 2017/2018,2017,2018
Denis SuÃ¡rez,06/01/1994,Spain,fc-barcelona,Season 2017/2018,2017,2018
Iniesta,11/05/1984,Spain,fc-barcelona,Season 2017/2018,2017,2018
JosÃ© ArnÃ¡iz,15/04/1995,Spain,fc-barcelona,Season 2017/2018,2017,2018
Oriol Busquets,20/01/1999,Spain,fc-barcelona,Season 2017/2018,2017,2018
Paulinho,25/07/1988,Brazil,fc-barcelona,Season 2017/2018,2017,2018
Ivan RakitiÄ,10/03/1988,Croatia,fc-barcelona,Season 2017/2018,2017,2018
Samper,20/01/1995,Spain,fc-barcelona,Season 2017/2018,2017,2018
Sergi Roberto,07/02/1992,Spain,fc-barcelona,Season 2017/2018,2017,2018
Ousmane DembÃ©lÃ©,15/05/1997,France,fc-barcelona,Season 2017/2018,2017,2018
Lionel Messi,24/06/1987,Argentina,fc-barcelona,Season 2017/2018,2017,2018
Paco AlcÃ¡cer,30/08/1993,Spain,fc-barcelona,Season 2017/2018,2017,2018
