name,date_of_birth,place_of_birth,team,season,season_start_year,season_end_year
ÃdÃ¡m BogdÃ¡n,27/09/1987,Hungary,liverpool-fc,Season 2017/2018,2017,2018
Loris Karius,22/06/1993,Germany,liverpool-fc,Season 2017/2018,2017,2018
Simon Mignolet,06/03/1988,Belgium,liverpool-fc,Season 2017/2018,2017,2018
Danny Ward,22/06/1993,Wales,liverpool-fc,Season 2017/2018,2017,2018
Alberto Moreno,05/07/1992,Spain,liverpool-fc,Season 2017/2018,2017,2018
Trent Alexander-Arnold,07/10/1998,England,liverpool-fc,Season 2017/2018,2017,2018
Nathaniel Clyne,05/04/1991,England,liverpool-fc,Season 2017/2018,2017,2018
Joe Gomez,23/05/1997,England,liverpool-fc,Season 2017/2018,2017,2018
Ragnar Klavan,30/10/1985,Estonia,liverpool-fc,Season 2017/2018,2017,2018
Dejan Lovren,05/07/1989,Croatia,liverpool-fc,Season 2017/2018,2017,2018
Conor Masterson,08/09/1998,Ireland,liverpool-fc,Season 2017/2018,2017,2018
Joel Matip,08/08/1991,Cameroon,liverpool-fc,Season 2017/2018,2017,2018
Andrew Robertson,11/03/1994,Scotland,liverpool-fc,Season 2017/2018,2017,2018
Virgil van Dijk,08/07/1991,Netherlands,liverpool-fc,Season 2017/2018,2017,2018
Emre Can,12/01/1994,Germany,liverpool-fc,Season 2017/2018,2017,2018
Jordan Henderson,17/06/1990,England,liverpool-fc,Season 2017/2018,2017,2018
Curtis Jones,30/01/2001,England,liverpool-fc,Season 2017/2018,2017,2018
Adam Lallana,10/05/1988,England,liverpool-fc,Season 2017/2018,2017,2018
James Milner,04/01/1986,England,liverpool-fc,Season 2017/2018,2017,2018
Alex Oxlade-Chamberlain,15/08/1993,England,liverpool-fc,Season 2017/2018,2017,2018
Georginio Wijnaldum,11/11/1990,Netherlands,liverpool-fc,Season 2017/2018,2017,2018
Danny Ings,23/07/1992,England,liverpool-fc,Season 2017/2018,2017,2018
Sadio ManÃ©,10/04/1992,Senegal,liverpool-fc,Season 2017/2018,2017,2018
Roberto Firmino,02/10/1991,Brazil,liverpool-fc,Season 2017/2018,2017,2018
Mohamed Salah,15/06/1992,Egypt,liverpool-fc,Season 2017/2018,2017,2018
Dominic Solanke,14/09/1997,England,liverpool-fc,Season 2017/2018,2017,2018
Benjamin Woodburn,15/10/1999,Wales,liverpool-fc,Season 2017/2018,2017,2018
JÃ¼rgen Klopp,16/06/1967,Germany,liverpool-fc,Season 2017/2018,2017,2018
Å½eljko BuvaÄ,13/09/1961,Bosnia-Herzegovina,liverpool-fc,Season 2017/2018,2017,2018
Peter Krawietz,31/12/1971,Germany,liverpool-fc,Season 2017/2018,2017,2018
Pepijn Lijnders,24/01/1983,Netherlands,liverpool-fc,Season 2017/2018,2017,2018
John Achterberg,08/07/1971,Netherlands,liverpool-fc,Season 2017/2018,2017,2018
Andreas Kornmayer,21/09/1974,Germany,liverpool-fc,Season 2017/2018,2017,2018
Christopher Rohrbeck,27/06/1978,Germany,liverpool-fc,Season 2017/2018,2017,2018
Loris Karius,22/06/1993,Germany,liverpool-fc,Season 2016/2017,2016,2017
Alexander Manninger,04/06/1977,Austria,liverpool-fc,Season 2016/2017,2016,2017
Simon Mignolet,06/03/1988,Belgium,liverpool-fc,Season 2016/2017,2016,2017
Alberto Moreno,05/07/1992,Spain,liverpool-fc,Season 2016/2017,2016,2017
Trent Alexander-Arnold,07/10/1998,England,liverpool-fc,Season 2016/2017,2016,2017
Nathaniel Clyne,05/04/1991,England,liverpool-fc,Season 2016/2017,2016,2017
Joe Gomez,23/05/1997,England,liverpool-fc,Season 2016/2017,2016,2017
Ragnar Klavan,30/10/1985,Estonia,liverpool-fc,Season 2016/2017,2016,2017
Dejan Lovren,05/07/1989,Croatia,liverpool-fc,Season 2016/2017,2016,2017
Joel Matip,08/08/1991,Cameroon,liverpool-fc,Season 2016/2017,2016,2017
James Milner,04/01/1986,England,liverpool-fc,Season 2016/2017,2016,2017
Connor Randall,21/10/1995,England,liverpool-fc,Season 2016/2017,2016,2017
Emre Can,12/01/1994,Germany,liverpool-fc,Season 2016/2017,2016,2017
Coutinho,12/06/1992,Brazil,liverpool-fc,Season 2016/2017,2016,2017
Ovie Ejaria,18/11/1997,England,liverpool-fc,Season 2016/2017,2016,2017
Marko GrujiÄ,13/04/1996,Serbia,liverpool-fc,Season 2016/2017,2016,2017
Jordan Henderson,17/06/1990,England,liverpool-fc,Season 2016/2017,2016,2017
Adam Lallana,10/05/1988,England,liverpool-fc,Season 2016/2017,2016,2017
Lucas Leiva,09/01/1987,Brazil,liverpool-fc,Season 2016/2017,2016,2017
Sheyi Ojo,19/06/1997,England,liverpool-fc,Season 2016/2017,2016,2017
Paulinho,25/12/1997,Portugal,liverpool-fc,Season 2016/2017,2016,2017
Kevin Stewart,07/09/1993,England,liverpool-fc,Season 2016/2017,2016,2017
Georginio Wijnaldum,11/11/1990,Netherlands,liverpool-fc,Season 2016/2017,2016,2017
Michael Jordan Williams,06/11/1995,Wales,liverpool-fc,Season 2016/2017,2016,2017
Rhian Brewster,01/04/2000,England,liverpool-fc,Season 2016/2017,2016,2017
Danny Ings,23/07/1992,England,liverpool-fc,Season 2016/2017,2016,2017
Sadio ManÃ©,10/04/1992,Senegal,liverpool-fc,Season 2016/2017,2016,2017
Divock Origi,18/04/1995,Belgium,liverpool-fc,Season 2016/2017,2016,2017
Roberto Firmino,02/10/1991,Brazil,liverpool-fc,Season 2016/2017,2016,2017
Daniel Sturridge,01/09/1989,England,liverpool-fc,Season 2016/2017,2016,2017
Harry Wilson,22/03/1997,Wales,liverpool-fc,Season 2016/2017,2016,2017
Benjamin Woodburn,15/10/1999,Wales,liverpool-fc,Season 2016/2017,2016,2017
JÃ¼rgen Klopp,16/06/1967,Germany,liverpool-fc,Season 2016/2017,2016,2017
Å½eljko BuvaÄ,13/09/1961,Bosnia-Herzegovina,liverpool-fc,Season 2016/2017,2016,2017
Peter Krawietz,31/12/1971,Germany,liverpool-fc,Season 2016/2017,2016,2017
Pepijn Lijnders,24/01/1983,Netherlands,liverpool-fc,Season 2016/2017,2016,2017
John Achterberg,08/07/1971,Netherlands,liverpool-fc,Season 2016/2017,2016,2017
Andreas Kornmayer,21/09/1974,Germany,liverpool-fc,Season 2016/2017,2016,2017
ÃdÃ¡m BogdÃ¡n,27/09/1987,Hungary,liverpool-fc,Season 2015/2016,2015,2016
Simon Mignolet,06/03/1988,Belgium,liverpool-fc,Season 2015/2016,2015,2016
Danny Ward,22/06/1993,Wales,liverpool-fc,Season 2015/2016,2015,2016
Alberto Moreno,05/07/1992,Spain,liverpool-fc,Season 2015/2016,2015,2016
Steven Caulker,29/12/1991,England,liverpool-fc,Season 2015/2016,2015,2016
Daniel Cleary,09/03/1996,Ireland,liverpool-fc,Season 2015/2016,2015,2016
Nathaniel Clyne,05/04/1991,England,liverpool-fc,Season 2015/2016,2015,2016
Jon Flanagan,01/01/1993,England,liverpool-fc,Season 2015/2016,2015,2016
Joe Gomez,23/05/1997,England,liverpool-fc,Season 2015/2016,2015,2016
Lloyd Jones,07/10/1995,England,liverpool-fc,Season 2015/2016,2015,2016
JosÃ© Enrique,23/01/1986,Spain,liverpool-fc,Season 2015/2016,2015,2016
Dejan Lovren,05/07/1989,Croatia,liverpool-fc,Season 2015/2016,2015,2016
Joe Maguire,18/01/1996,England,liverpool-fc,Season 2015/2016,2015,2016
Conor Masterson,08/09/1998,Ireland,liverpool-fc,Season 2015/2016,2015,2016
Connor Randall,21/10/1995,England,liverpool-fc,Season 2015/2016,2015,2016
Mamadou Sakho,13/02/1990,France,liverpool-fc,Season 2015/2016,2015,2016
Martin Å krtel,15/12/1984,Slovakia,liverpool-fc,Season 2015/2016,2015,2016
Brad Smith,09/04/1994,Australia,liverpool-fc,Season 2015/2016,2015,2016
Tiago Ilori,26/02/1993,Portugal,liverpool-fc,Season 2015/2016,2015,2016
Kolo TourÃ©,19/03/1981,Ivory Coast,liverpool-fc,Season 2015/2016,2015,2016
Joe Allen,14/03/1990,Wales,liverpool-fc,Season 2015/2016,2015,2016
Cameron Brannagan,09/05/1996,England,liverpool-fc,Season 2015/2016,2015,2016
Emre Can,12/01/1994,Germany,liverpool-fc,Season 2015/2016,2015,2016
Coutinho,12/06/1992,Brazil,liverpool-fc,Season 2015/2016,2015,2016
Jack Dunn,19/11/1994,England,liverpool-fc,Season 2015/2016,2015,2016
Jordan Henderson,17/06/1990,England,liverpool-fc,Season 2015/2016,2015,2016
JoÃ£o Carlos Teixeira,18/01/1993,Portugal,liverpool-fc,Season 2015/2016,2015,2016
Ryan Kent,11/11/1996,England,liverpool-fc,Season 2015/2016,2015,2016
Adam Lallana,10/05/1988,England,liverpool-fc,Season 2015/2016,2015,2016
Lucas Leiva,09/01/1987,Brazil,liverpool-fc,Season 2015/2016,2015,2016
James Milner,04/01/1986,England,liverpool-fc,Season 2015/2016,2015,2016
Sheyi Ojo,19/06/1997,England,liverpool-fc,Season 2015/2016,2015,2016
Pedro Chirivella,23/05/1997,Spain,liverpool-fc,Season 2015/2016,2015,2016
Adam Phillips,15/01/1998,England,liverpool-fc,Season 2015/2016,2015,2016
Jordan Rossiter,24/03/1997,England,liverpool-fc,Season 2015/2016,2015,2016
Kevin Stewart,07/09/1993,England,liverpool-fc,Season 2015/2016,2015,2016
Christian Benteke,03/12/1990,Belgium,liverpool-fc,Season 2015/2016,2015,2016
Jordon Ibe,08/12/1995,England,liverpool-fc,Season 2015/2016,2015,2016
Danny Ings,23/07/1992,England,liverpool-fc,Season 2015/2016,2015,2016
