name,date_of_birth,place_of_birth,team,season_start_year,season_end_year,competition,competitionNation,Foreign,Colony,Language,latitude,longitude
1,22/4/89,Netherlands,fc-barcelona,2017,2018,La liga,Spain,foreign,Germany,Dutch/English,52.132633,5.291266
1,14/11/85,Belgium,fc-barcelona,2017,2018,La liga,Spain,foreign,Germany,Dutch/French,50.503887,4.469936
1,10/3/88,Croatia,fc-barcelona,2017,2018,La liga,Spain,foreign,Other Countries,Croatian,45.1,15.2
1,4/11/98,Morocco,real-madrid,2017,2018,La liga,Spain,foreign,France,Arabic,31.791702,-7.09262
1,6/5/94,Croatia,real-madrid,2017,2018,La liga,Spain,foreign,Other Countries,Croatian,45.1,15.2
1,9/9/85,Croatia,real-madrid,2017,2018,La liga,Spain,foreign,Other Countries,Croatian,45.1,15.2
1,9/2/94,Slovakia,celta-vigo,2017,2018,La liga,Spain,foreign,Other Countries,Slovak/Bulgarian/Czech/Polish/German/Romani/Rusyn Serbian Ukrainian,48.669026,19.699024
1,25/11/94,Slovakia,celta-vigo,2017,2018,La liga,Spain,foreign,Other Countries,Slovak/Bulgarian/Czech/Polish/German/Romani/Rusyn Serbian Ukrainian,48.669026,19.699024
1,20/7/56,Cameroon,espanyol-barcelona,2017,2018,La liga,Spain,foreign,Germany,English/French,7.369722,12.354722
1,31/12/91,Togo,getafe-cf,2017,2018,La liga,Spain,foreign,Germany,French,8.619543,0.824782
1,1/8/88,Morocco,getafe-cf,2017,2018,La liga,Spain,foreign,France,Arabic,31.791702,-7.09262
1,20/9/97,Senegal,getafe-cf,2017,2018,La liga,Spain,foreign,France,French,14.497401,-14.452362
1,20/7/98,Congo,getafe-cf,2017,2018,La liga,Spain,foreign,France,French,-0.228021,15.827659
1,16/7/96,Senegal,getafe-cf,2017,2018,La liga,Spain,foreign,France,French,14.497401,-14.452362
1,5/4/91,Morocco,girona-fc,2017,2018,La liga,Spain,foreign,France,Arabic,31.791702,-7.09262
1,15/7/96,Poland,girona-fc,2017,2018,La liga,Spain,foreign,Germany,Polish,51.919438,19.145136
1,17/4/98,Cameroon,girona-fc,2017,2018,La liga,Spain,foreign,Germany,English/French,7.369722,12.354722
1,26/3/94,Kenya,girona-fc,2017,2018,La liga,Spain,foreign,United Kingdom,English,-0.023559,37.906193
1,7/2/89,Morocco,girona-fc,2017,2018,La liga,Spain,foreign,France,Arabic,31.791702,-7.09262
1,25/7/90,Ghana,cd-alaves,2017,2018,La liga,Spain,foreign,United Kingdom,English,7.946527,-1.023194
1,7/1/93,Slovenia,atletico-madrid,2017,2018,La liga,Spain,foreign,Other Countries,Slovene,46.151241,14.995463
1,10/1/92,Croatia,atletico-madrid,2017,2018,La liga,Spain,foreign,Other Countries,Croatian,45.1,15.2
1,28/8/97,Albania,atletico-madrid,2017,2018,La liga,Spain,foreign,Other Countries,Albanian,41.153332,20.168331
1,13/6/93,Ghana,atletico-madrid,2017,2018,La liga,Spain,foreign,United Kingdom,English,7.946527,-1.023194
1,21/6/95,Senegal,atletico-madrid,2017,2018,La liga,Spain,foreign,France,French,14.497401,-14.452362
1,1/1/89,Morocco,real-betis,2017,2018,La liga,Spain,foreign,France,Arabic,31.791702,-7.09262
1,22/10/91,Algeria,real-betis,2017,2018,La liga,Spain,foreign,France,Arabic,28.033886,1.659626
1,19/2/90,Algeria,real-betis,2017,2018,La liga,Spain,foreign,France,Arabic,28.033886,1.659626
1,11/12/97,Mauritania,levante-ud,2017,2018,La liga,Spain,foreign,France,Arabic,21.00789,-10.940835
1,2/7/95,Macedonia,levante-ud,2017,2018,La liga,Spain,foreign,Other Countries,Macedonian,41.608635,21.745275
