Competition,Country,Count,latitude,longitude
Bundesliga,Albania,46,41.153332,20.168331
Bundesliga,Algeria,24,28.033886,1.659626
Bundesliga,Angola,19,-11.202692,17.873887
Bundesliga,Argentina,90,-38.416097,-63.616672
Bundesliga,Armenia,3,40.069099,45.038189
Bundesliga,Australia,55,-25.274398,133.775136
Bundesliga,Austria,259,47.516231,14.550072
Bundesliga,Azerbaijan,11,40.143105,47.576927
Bundesliga,Belarus,11,53.709807,27.953389
Bundesliga,Belgium,111,50.503887,4.469936
Bundesliga,Benin,3,9.30769,2.315834
Bundesliga,Bosnia-Herzegovina,165,43.915886,17.679076
Bundesliga,Brazil,408,-14.235004,-51.92528
Bundesliga,Bulgaria,55,42.733883,25.48583
Bundesliga,Burkina Faso,15,12.238333,-1.561593
Bundesliga,Cambodia,2,12.565679,104.990963
Bundesliga,Cameroon,57,7.369722,12.354722
Bundesliga,Canada,27,56.130366,-106.346771
Bundesliga,Chile,20,-35.675147,-71.542969
Bundesliga,China,8,35.86166,104.195397
Bundesliga,Colombia,22,4.570868,-74.297333
Bundesliga,Congo,8,-0.228021,15.827659
Bundesliga,Congo DR,28,-4.038333,21.758664
Bundesliga,Costa Rica,6,9.748917,-83.753428
Bundesliga,Croatia,329,45.1,15.2
Bundesliga,Curaçaoan,5,12.1696,68.99
Bundesliga,Cyprus,1,35.126413,33.429859
Bundesliga,Czech Republic,205,49.817492,15.472962
Bundesliga,Denmark,154,56.26392,9.501785
Bundesliga,Ecuador,8,-1.831239,-78.183406
Bundesliga,Egypt,14,26.820553,30.802498
Bundesliga,Equatorial Guinea,2,1.650801,10.267895
Bundesliga,Estonia,5,58.595272,25.013607
Bundesliga,Finland,43,61.92411,25.748151
Bundesliga,France,141,46.227638,2.213749
Bundesliga,French Guyana,1,3.933889,-53.125782
Bundesliga,Gabon,4,-0.803689,11.609444
Bundesliga,Gambia,4,13.443182,-15.310139
Bundesliga,Georgia,60,42.315407,43.356892
Bundesliga,Ghana,127,7.946527,-1.023194
Bundesliga,Greece,69,39.074208,21.824312
Bundesliga,Guatemala,1,15.783471,-90.230759
Bundesliga,Guinea,28,9.945587,-9.696645
Bundesliga,Hungary,110,47.162494,19.503304
Bundesliga,Iceland,23,64.963051,-19.020835
Bundesliga,Iran,29,32.427908,53.688046
Bundesliga,Ireland,2,53.41291,-8.24389
Bundesliga,Israel,12,31.046051,34.851612
Bundesliga,Italy,64,41.87194,12.56738
Bundesliga,Ivory Coast,49,7.54,5.5471
Bundesliga,Jamaica,6,18.109581,-77.297508
Bundesliga,Japan,80,36.204824,138.252924
Bundesliga,Kazakhstan,6,48.019573,66.923684
